A Fine Mess
A just war
A little big
a little pregnant
A new classic
absolutely unsure
abundant poverty
academic fraternity
Academic sorority
Accidentally on Purpose
accurate estimate
accurate horoscope
accurate rumors
accurate stereotype
acrophobic mountain climber
Act Naturally
active retirement
actual reenactment
acute apathy
acute dullness
adult children
Adult male
advanced BASIC
advanced beginner
Affirmative action
affordable housing
aging yuppie
agree to disagree
Airline Food
airline schedules
all alone
All natural artificial flavor
alltogether separate
alone in a crowd
almost candid
Almost done
almost exactly
almost pregnant
Almost Ready
almost safe
almost suddenly
almost surprised
almost totally
alone together
amateur expert
American culture
American education
American English
amicable divorce
among the first
Amtrak schedule
Anarchy Rules!
anonymous colleague
anticipated serendipity
anticipating the unanticipated
Anti-Missile Missile
anxious patient
apathetic interest
apathetically urged
Apple tech support
approximate solution
approximately equal
arms limitation
army intelligence
arrogant humility
Artificial Grass
artificial intelligence
assistant supervisor
astronomically small
athletic scholarship
Aunt Jemima Light
Auto Pilot
authentic replica
authentic reproduction
authoritarian anarchy
awfully good
awfully nice
Awfully pretty
baby giant
baby grand (piano)
Bad Sport
bad samaritan
bad luck
Bad Sport
balanced insanity
balding hair
Ball Club
baggy tights
Band Jocks
bankrupt millionaire
barely dressed
Barenaked Ladies (the rock group)
bass guitar
battle ready
Beaucractic efficiencies
benevolent despot
benign neglect
Benign Tumor
better than new
beyond infinity
big baby
big detail
big sip
big town
bigger half bingeing on moderation
bipartisan cooperation
bird dog
birth control
Bitter Sweet
Black Gold (slang for crude oil)
black light
Black Russian
blameless culprit
bland spice
blind eye
blind viewer
blue rose
Blurry vision
boneless ribs
books on tape
border control
boring court jester
boring entertainment
born dead
boxing ring
boyish grandpa
brave politician
brave wimp
brief speech
brief survey
briefing
bright night
bright rain
bright shade
brilliantly dull
budget deficit
Bug Fix
Bug-Free code
bug-free software
build down
bull riding
buried alive
burning cold
business casual
Business Ethics
butthead
cafeteria food
Calculated Error
calculated risk
calculated spontaneity
California Culture
California expressway
California style
calm storm
calm winds
camping resort
Canadian Bacon
canned fresh
cardinal sin
Caring Republican
casual chic
casual dress
casual formality
casual intimacy
casual sex
casually concerned
catfish
Cautiously Optimistic
cavalier concern
center around
Central Intelligence Agency
centrally-planned economy
Certain risk
certainly unsure
chaotic organization
cheap gas
cheerful pessimist
cheerful undertaker
cheerfully cynical
cheerfully mournful
Cheese Steak
Cherokee Pioneer (name of U.S. car)
Chicken fajitas
childproof
chilling fever
Chinese chop suey
Chocolate nilla Wafers
Christian evolutionist
Christian gangster
Christian militia
CIA cooperation
civil disobedience
civil engineer
CIVIL LITIGATION
Civil Servant
civil service
civil strife
Civil War
civilized warfare
classic new homes
classic rock & roll
clean boy
clean coal
clean dirt
clean kill
clean litter
clean oil
clean toilet
clear as mud
clearly ambiguous
clearly confused
clearly misunderstood
clever fool
click the start button to shut down
Clinton principles
climb down
clogged drain
close distance
cluster bomb
co-ed fraternity
co-ed sorority
cold fever
cold hotdog
cold sweat
cold toast
Collective liberty
College algebra
college education
college student
colorless kaleidoscope
combative apology
comedic tragedy
